Lang,rule ID,Vulnerable Category
JAVA,7589BC58-7610-4A6C-93C0-9D8E8D186494,System Information Leak: External
JAVA,78184741-A6C6-4FB2-9602-CD5C15480A2D,System Information Leak: External
JAVA,BBA13E0B-FFFB-437E-9851-647C3AEBDB27,System Information Leak: External
JAVA,37637F77-C5DE-4D41-818D-1829074E81EE,System Information Leak: External
JAVA,A3FB66ED-F856-486F-A591-E7A5FC0FB726,Cross-Site Scripting: DOM
JAVA,A15671BA-3CE2-462B-A560-D63752CD3711,Cross-Site Scripting: DOM
JAVA,1060C324-27A3-4ED8-8362-657EF063AD7E,Cross-Site Scripting: DOM
JAVA,B701E7AC-82B6-4DBD-A7BC-9462A13053C8,Cross-Site Scripting: DOM
JAVA,5E6B9D7A-3972-49CA-9CF8-E73A5FA98653,System Information Leak: External
JAVA,823AD462-E31D-4591-8ADB-827258F866DE,System Information Leak: External
JAVA,27D7D643-33D8-497D-A2A8-919BA584E193,System Information Leak: External
JAVA,BD785763-FFE0-43AD-B29D-8B4D66F4AAA7,System Information Leak: External
JAVA,9E061907-8322-430A-A01F-CBE90E3B0F7B,System Information Leak: External
JAVA,16121438-574C-4EEC-9DD1-494C7BB8DAA7,System Information Leak: External
JAVA,7AD557E1-B2CC-4B9C-8E63-C35ACB8D5A8A,System Information Leak: External
JAVA,CDCDE918-D554-42C8-9462-E20ACD696800,System Information Leak: External
JAVA,067915CA-0FD4-4CF5-8CCD-C313B62BD92A,System Information Leak: External
JAVA,E2AFC083-5BD8-4EF3-B7C4-6882E11D9B7D,Privacy Violation
JAVA,AD924386-59C6-4CB6-8999-53A4EED459F1,Privacy Violation
JAVA,00676A79-9CAD-49BF-A8EB-7F33FFF42B36,Privacy Violation
JAVA,515B1C96-D7EB-4BC3-8D11-71DC78BA5F74,Privacy Violation
JAVA,F458A772-FBBD-4E83-8433-11F8C8710F6E,Privacy Violation
JAVA,450F6F09-8186-4AAE-A1C3-5B4BB2A070FD,Privacy Violation
JAVA,2B8B68DE-983A-425D-84CB-6A0D808BCFD1,Privacy Violation
JAVA,E9450C9-BF24-4EE2-A334-BCD61A9E541E,Privacy Violation
JAVA,B9707E21-F9D9-483E-86E2-368B04566478,Privacy Violation
JAVA,19447960-CF96-4F8A-A7F0-787401AAC2C9,Privacy Violation
JAVA,465852CF-640A-47DF-864F-CAB174C08AF9,Privacy Violation
JAVA,4D6F779D-11E8-4292-BAAD-BF4ABA0D41D0,Privacy Violation
JAVA,3195E593-2917-4B1B-B3B6-D1792F77853C,Cross-Site Scripting: DOM
JAVA,2CBFC5BD-717B-4D3D-BF99-C05034F71CA0,Open Redirect
JAVA,2CBFC5BD-717B-4D3D-BF99-C05034F71CA0,Open Redirect
JAVA,5471F04D-133F-46B1-83A4-163198D8971B,Open Redirect
JAVA,5471F04D-133F-46B1-83A4-163198D8971B,Open Redirect
JAVA,06361A33-0588-435B-8A9B-E9D2D2248C94,Open Redirect
JAVA,06361A33-0588-435B-8A9B-E9D2D2248C94,Open Redirect
JAVA,8B655FFF-C551-4BD6-BCA9-0AF74957FBD2,Open Redirect
JAVA,8B655FFF-C551-4BD6-BCA9-0AF74957FBD2,Open Redirect
JAVA,46854E6F-D770-40DF-AE9E-01CFC73864F8,Password Management
JAVA,2604D479-3876-4E6B-A6DD-86AFA5783D07,Password Management: Weak Cryptography
JAVA,22EB83DC-1DC7-49DD-9852-52E89A95CB78,Password Management
JAVA,3E76CE5B-7D83-40BF-B3C9-A6E2F0BC5D37,Password Management: Weak Cryptography
JAVA,9613A6F6-99A1-4E22-AFE7-60D0A903C0A6,Resource Injection
JAVA,C3701E2B-E41E-4F20-B917-50B4B4997DEC,System Information Leak: External
JAVA,DFC0B689-0557-4890-984E-30D4C08E1BBE,Privacy Violation
JAVA,1BA1CF83-708C-421D-BB57-AC213631FD99,Log Forging
JAVA,5BEC8A13-9AE3-4F43-AF26-BD37FACBA343,System Information Leak: External
JAVA,39713377-9E2C-42C6-B16E-117E21FA0805,Privacy Violation
JAVA,FEE259CA-7AB5-4224-8ABB-8A86DAA5F7AE,Password Management
JAVA,EC1229E7-FEA4-4504-9C18-06599CC78B09,Password Management: Weak Cryptography
JAVA,1735D613-8A00-4323-BFDA-BEE2A9E5A148,Open Redirect
